Name,global_id,AdmArea,District,Location,lon,lat,Material
"Искусственная дорожная неровность 1 по адресу Порядковый переулок, дом 8",2707531213,Центральный административный округ,Тверской район,"Порядковый переулок, дом 8",37.59042,55.786269,пластик
"Искусственная дорожная неровность 1 на УДС Карелина проезда с привязкой к адресу Угловой переулок, дом 2",2707531215,Центральный административный округ,Тверской район,"Угловой переулок, дом 2",37.588687,55.785703,пластик
"Искусственная дорожная неровность по адресу Большой Полуярославский переулок, дом 8",2707531217,Центральный административный округ,Таганский район,"Большой Полуярославский переулок, дом 8",37.663049,55.752352,пластик
"Искусственная дорожная неровность по адресу 2-й Сыромятнический переулок, дом 10",2707531219,Центральный административный округ,Таганский район,"2-й Сыромятнический переулок, дом 10",37.662558,55.752454,пластик
"Искусственная  дорожная неровность на УДС Большомого Полуярославского переулка с привязкой к адресу адресу Наставнический переулок, дом 10/2, строение 1",2707531220,Центральный административный округ,Таганский район,"Наставнический переулок, дом 10/2, строение 1",37.662884,55.752099,пластик
"Искусственная  дорожная неровность по адресу улица Большая Ордынка, дом 15",2707531221,Центральный административный округ,район Замоскворечье,"улица Большая Ордынка, дом 15",37.625039,55.742859,пластик
"Искусственная дорожная неровность на УДС 1-ого Нового переулка с привязкой к адресу Нижняя Красносельская улица, дом 5, строение 10",2707531222,Центральный административный округ,Красносельский район,"Искусственная дорожная неровность на УДС 1-ого Нового переулка с привязкой к адресу Нижняя Красносельская улица, дом 5, строение 10",37.669655,55.779308,пластик
"Искусственная дорожная неровность по адресу улица Воронцово поле, дом 13, строение 2",2707531223,Центральный административный округ,Басманный район,"улица Воронцово поле, дом 13, строение 2",37.654792,55.754495,пластик
"Искусственная дорожная неровность по адресу улица Воронцово поле, дом 18",2707531224,Центральный административный округ,Басманный район,"улица Воронцово поле, дом 18",37.655173,55.754573,пластик
"Искусственная дорожная неровность по адресу Большой Тишинский переулок, дом 22",2707531225,Центральный административный округ,Пресненский район,"Большой Тишинский переулок, дом 22",37.575002,55.769043,пластик
"Искусственная дорожная неровность по адресу Большой Тишинский переулок, дом 24",2707531226,Центральный административный округ,Пресненский район,"Большой Тишинский переулок, дом 24",37.574421,55.76908,пластик
"Искуственная  дорожная  неровность 2 по адресу Молодогвардейская улица, дом 63",2707531231,Западный административный округ,район Кунцево,"Молодогвардейская улица, дом 63",55.733672,37.389676,пластик
"Искуственная дорожная неровность по адресу Таллинская улица, дом 19, корпус 1 (дублер)",2707531234,Северо-Западный административный округ,район Строгино,"Таллинская улица, дом 19, корпус 1",37.4057,55.80016,пластик
"Искуственная дорожная неровность по адресу улица Рословка, дом 6",2707531235,Северо-Западный административный округ,район Митино,"улица Рословка, дом 6",37.359615,55.830913,пластик
"Искуственная дорожная неровность по адресу Сходненская улица, дом 23",2707531236,Северо-Западный административный округ,район Южное Тушино,"Сходненская улица, дом 23",37.439411,55.844351,пластик
"Искуственная дорожная неровность на УДС улицы Фабрициуса с привязкой к адресу Штурвальная улица, дом 20",2707531237,Северо-Западный административный округ,район Южное Тушино,"Штурвальная улица, дом 20",37.44713,55.844771,пластик
"Искуственная дорожная неровность по адресу улица Свободы, дом 51 (дублер)",2707531238,Северо-Западный административный округ,район Южное Тушино,"улица Свободы, дом 51",37.452595,55.848763,пластик
"Искуственная дорожная неровность по адресу улица Берзарина, дом 20",2707531239,Северо-Западный административный округ,район Щукино,"улица Берзарина, дом 20",37.480246,55.788765,пластик
"Искуственная дорожная неровность по адресу 1-я улица Машиностроения, дом 7",2707531252,Юго-Восточный административный округ,Южнопортовый район,"1-я улица Машиностроения, дом 7",37.675077,55.715599,пластик
"Искусственная дорожная неровность по адресу улица Генерала Антонова, дом 7",2707531257,Юго-Западный административный округ,район Коньково,"улица Генерала Антонова, дом 7",37.538198,55.643726,пластик
"Искусственная дорожная неровность 1 по адресу улица Генерала Антонова, дом 3",2707531269,Юго-Западный административный округ,район Коньково,"улица Генерала Антонова, дом 3",37.532585,55.645511,пластик
"Искусственная дорожная неровность 2 по адресу улица Академика Капицы, дом 16",2707531309,Юго-Западный административный округ,район Коньково,"улица Академика Капицы, дом 16",37.524433,55.628014,пластик
"Искусственная дорожная неровность 2 по адресу Порядковый переулок, дом 8",2707531321,Центральный административный округ,Тверской район,"Порядковый переулок, дом 8",37.59046,55.786402,пластик
