global_id,Name
2493438838,Московский метрополитен
2493438839,Московское центральное кольцо
2493438840,Автобус
2493438841,Трамвай
2493438842,Электробус
2493438843,Московский метрополитен
2493438844,Московское центральное кольцо
2493438845,Автобус
2493438846,Трамвай
2493438847,Электробус
2493438848,Московский метрополитен
2493438849,Московское центральное кольцо
2493439084,Автобус
2493439130,Трамвай
2493439157,Электробус
2493439228,Московский метрополитен
2493439267,Московское центральное кольцо
2535656881,Автобус
2535656896,Трамвай
2535656903,Электробус
2535657735,Московский метрополитен
2535657744,Московское центральное кольцо
2577494613,Автобус
2577494628,Трамвай
2577494630,Электробус
2577494633,Московский метрополитен
2577494634,Московское центральное кольцо
2580712788,Автобус
2580712796,Трамвай
2580712806,Электробус
2580712810,Московский метрополитен
2580712827,Московское центральное кольцо
2587548161,Автобус
2587548170,Трамвай
2587548189,Электробус
2587548208,Московский метрополитен
2587548219,Московское центральное кольцо
2591776866,Автобус
2591776867,Трамвай
2591776868,Электробус
2591776876,Московский метрополитен
2591776886,Московское центральное кольцо
2601920096,Автобус
2601920103,Трамвай
2601920105,Электробус
2601920108,Московский метрополитен
2601920113,Московское центральное кольцо
2606928737,Автобус
2606928764,Трамвай
2606928792,Электробус
2606928815,Московский метрополитен
2606928841,Московское центральное кольцо
2615540829,Автобус
2615540959,Трамвай
2615540998,Электробус
2615541020,Московский метрополитен
2615541028,Московское центральное кольцо
2622144546,Автобус
2622144560,Трамвай
2622144562,Электробус
2622144564,Московский метрополитен
2622144565,Московское центральное кольцо
2633514110,Автобус
2633514120,Трамвай
2633514138,Электробус
2633514151,Московский метрополитен
2633514163,Московское центральное кольцо
2639121311,Автобус
2639121313,Трамвай
2639121320,Электробус
2639121333,Московский метрополитен
2639121341,Московское центральное кольцо
2641220866,Автобус
2641220885,Трамвай
2641220898,Электробус
2641220914,Московский метрополитен
2641220927,Московское центральное кольцо
2645548091,Автобус
2645548103,Трамвай
2645548128,Электробус
2645548133,Московский метрополитен
2645548159,Московское центральное кольцо
2657079400,Автобус
2657079513,Трамвай
2657079615,Электробус
2657079729,Московский метрополитен
2657079807,Московское центральное кольцо
2663693785,Автобус
2663693787,Трамвай
2663693790,Электробус
2663693794,Московский метрополитен
2663693796,Московское центральное кольцо
2671753667,Автобус
2671753674,Трамвай
2671753681,Электробус
2671753763,Московский метрополитен
2671753767,Московское центральное кольцо
2682801895,Автобус
2682801964,Трамвай
2682802054,Электробус
2682802130,Московский метрополитен
2682802202,Московское центральное кольцо
2688522464,Автобус
2688522468,Трамвай
2688522470,Электробус
2688522472,Московский метрополитен
2688522482,Московское центральное кольцо
2693204875,Автобус
2693204877,Трамвай
2693204881,Электробус
2693204884,Московский метрополитен
2693204887,Московское центральное кольцо
2699733326,Автобус
2699733338,Трамвай
2699733345,Электробус
2699733350,Московский метрополитен
2699733354,Московское центральное кольцо
2703084520,Автобус
2703084580,Трамвай
2703084670,Электробус
2703084851,Московский метрополитен
2703084966,Московское центральное кольцо
2706595218,Автобус
2706595225,Трамвай
2706595229,Электробус
2706595231,Московский метрополитен
2706595233,Московское центральное кольцо
2716406339,Автобус
2716406388,Трамвай
2716406420,Электробус
2716406442,Московский метрополитен
2716406512,Московское центральное кольцо
2721394256,Автобус
2721394302,Трамвай
2721394474,Электробус
2721394699,Московский метрополитен
2721394803,Московское центральное кольцо
2752441075,Автобус
2752441095,Трамвай
2752441113,Электробус
2752441119,Московский метрополитен
2752441134,Московское центральное кольцо
2754765817,Автобус
2754765828,Трамвай
2754765859,Электробус
2754765873,Московский метрополитен
2754765879,Московское центральное кольцо
2755750262,Автобус
2755750268,Трамвай
2755750269,Электробус
2755750271,Московский метрополитен
2755750292,Московское центральное кольцо
2763895036,Автобус
2763895102,Трамвай
2763895118,Электробус
2763895120,Московский метрополитен
2763895123,Московское центральное кольцо
2786409364,Автобус
2786409370,Трамвай
2786409381,Электробус
2786409386,Московский метрополитен
2786409392,Московское центральное кольцо
2791619020,Автобус
2791619025,Трамвай
2791619036,Электробус
2791619039,Московский метрополитен
2791619042,Московское центральное кольцо
2795878026,Автобус
2795878029,Трамвай
2795878037,Электробус
2795878039,Московский метрополитен
2795878044,Московское центральное кольцо
2800915622,Автобус
2800915625,Трамвай
2800915628,Электробус
2800915630,Московский метрополитен
2800915640,Московское центральное кольцо
2808271600,Автобус
2808271662,Трамвай
2808271702,Электробус
2808271729,Московский метрополитен
2808271777,Московское центральное кольцо
2828144569,Автобус
2828144570,Трамвай
2828144571,Электробус
2828144574,Московский метрополитен
2828144575,Московское центральное кольцо
2836114101,Автобус
2836114203,Трамвай
2836114233,Электробус
2836114260,Московский метрополитен
2836114295,Московское центральное кольцо
1711216,"Искусственная дорожная неровность по адресу Борисовский проезд, дом 20"
1711244,"Искусственная дорожная неровность по адресу Ореховый проезд, дом 43А"
1711314,"Искусственная дорожная неровность по адресу улица Кошкина, дом 6"
1711318,"Искусственная дорожная неровность по адресу улица Москворечье, дом 47, корпус 1"
1711323,"Искусственная дорожная неровность по адресу Артековская улица, дом 3"
1711364,"Искусственная дорожная неровность по адресу улица Лобанова, дом 3"
1711369,"Искусственная дорожная неровность на УДС 1-го Автозаводского проезда с привязкой к адресу Автозаводская улица, дом 15/2"
1711401,"Искусственная дорожная неровность по адресу улица Полбина, дом 18"
1711407,"Искусственная дорожная неровность по адресу Нагатинская набережная, дом 56"
1711424,"Искусственная дорожная неровность по адресу улица Бахрушина, дом 25"
1711430,"Искусственная дорожная неровность по адресу Автозаводская улица, дом 7"
1711433,"Искусственная дорожная неровность по адресу Малая Тульская улица, дом 15"
1711443,"Искусственная дорожная неровность по адресу Святоозерская улица, дом 16"
1711446,"Искусственная дорожная неровность по адресу Восточная улица, дом 4А, строение 38"
1711454,"Искусственная дорожная неровность по адресу Большой Факельный переулок, дом 23"
1711457,"Искусственная дорожная неровность по адресу Новорогожская улица, дом 4, строение 1"
1711458,"Искусственная дорожная неровность по адресу Гончарная улица, дом 34"
1711461,"Искусственная дорожная неровность по адресу Рабочая улица, дом 10"
1711462,"Искусственная дорожная неровность по адресу Библиотечная улица, дом 29"
1711463,"Искусственная дорожная неровность по адресу Гагаринский переулок, дом 20"
1711466,"Искусственная дорожная неровность по адресу 3-й Лесной переулок, дом 12"
1711467,"Искусственная дорожная неровность по адресу Измайловское шоссе, дом 13"
1711468,"Искусственная дорожная неровность по адресу 4-й Лесной переулок, дом 6"
1711474,"Искусственная дорожная неровность по адресу 2-я Леснорядская улица, дом 10, строение 1"
1711483,"Искусственная дорожная неровность по адресу улица Большая Молчановка, дом 26-28"
1711486,"Искусственная дорожная неровность по адресу Калашный переулок, дом 3"
1711490,"Искусственная дорожная неровность по адресу Мантулинская улица, дом 16"
1711496,"Искусственная дорожная неровность по адресу 2-я Звенигородская улица, дом 8"
1711498,"Искусственная дорожная неровность по адресу Большой Казённый переулок, дом 9"
1711499,"Искусственная дорожная неровность по адресу улица Металлургов, дом 60, корпус 1"
1711501,"Искусственная дорожная неровность по адресу 3-я Владимирская улица, дом 5"
1711502,"Искусственная дорожная неровность по адресу Большой Козихинский переулок, дом 5"
1711506,"Искусственная дорожная неровность по адресу Староконюшенный переулок, дом 18"
1711516,"Искусственная дорожная неровность по адресу улица Климашкина, дом 13"
1711517,"Искусственная дорожная неровность по адресу Большой Тишинский переулок, дом 1, строение 3"
1711518,"Искусственная дорожная неровность по адресу Просвирин переулок, дом 5"
1711519,"Искусственная дорожная неровность по адресу Старопименовский переулок, дом 5"
1711521,"Искусственная дорожная неровность по адресу Большой Тишинский переулок, дом 39"
1711524,"Искусственная дорожная неровность по адресу Лефортовский переулок, дом 8"
1711526,"Искусственная дорожная неровность по адресу Госпитальный переулок, дом 4"
1711528,"Искусственная дорожная неровность по адресу Средний Кондратьевский переулок, дом 8"
1711529,"Искусственная дорожная неровность по адресу Большой Каретный переулок, дом 22"
1711530,"Искусственная дорожная неровность по адресу Большой Кондратьевский переулок, дом 3"
1711533,"Искусственная дорожная неровность по адресу Рубцов переулок, дом 10/14"
1711537,"Искусственная дорожная неровность по адресу Вольная улица, дом 4"
1711556,"Искусственная дорожная неровность по адресу Ленинградский проспект, дом 49"
1711557,"Искусственная дорожная неровность по адресу улица Олений Вал, дом 22, корпус 1"
1711559,"Искусственная дорожная неровность по адресу Живописная улица, дом 48"
1711563,"Искусственная дорожная неровность по адресу улица Маршала Василевского, дом 3, корпус 2"
1711571,"Искусственная дорожная неровность по адресу улица Генерала Глаголева, дом 25, корпус 1"
1711573,"Искусственная дорожная неровность по адресу Малая Переяславская улица, дом 6/8"
1711580,"Искусственная дорожная неровность по адресу улица Девятая Рота, дом 14"
1711584,"Искусственная дорожная неровность по адресу улица Павла Корчагина, дом 4"
1711587,"Искусственная дорожная неровность по адресу улица Исаковского, дом 14"
1711591,"Искусственная дорожная неровность по адресу улица Гончарова, дом 15"
1711592,"Искусственная дорожная неровность на УДС улицы Гончарова с привязкой к адресу улица Руставели, дом 7, строение 2"
1711593,"Искусственная дорожная неровность по адресу улица Гончарова, дом 17, корпус 1"
1711598,"Искусственная дорожная неровность по адресу 4-я улица Марьиной Рощи, дом 1"
1711602,"Искусственная дорожная неровность по адресу улица Сальвадора Альенде, дом 9"
1711604,"Искусственная дорожная неровность по адресу 2-я Пугачёвская улица, дом 6"
1711606,"Искусственная дорожная неровность по адресу Петровско-Разумовский проезд, дом 9"
1711611,"Искусственная дорожная неровность по адресу Вятская улица, дом 29"
1711619,"Искусственная дорожная неровность по адресу 3-я Новоостанкинская улица, дом 4"
1711620,"Искусственная дорожная неровность по адресу улица Годовикова, дом 4, строение 2"
1711627,"Искусственная дорожная неровность по адресу 2-я Новоостанкинская улица, дом 10А"
1711630,"Искусственная дорожная неровность по адресу улица Гончарова, дом 17, корпус 2"
1711635,"Искусственная дорожная неровность по адресу улица Исаковского, дом 29"
1711637,"Искусственная дорожная неровность по адресу Алымов переулок, дом 15"
1711642,"Искусственная дорожная неровность по адресу 3-я Гражданская улица, дом 64"
1711647,"Искусственная дорожная неровность по адресу Погонный проезд, дом 5, строение 2"
1711656,"Искусственная дорожная неровность по адресу улица Касаткина, дом 7"
1711660,"Искусственная дорожная неровность по адресу 1-я улица Леонова, дом 1"
1711663,"Искусственная дорожная неровность по адресу 1-я улица Леонова, дом 16, строение 7"
1711682,"Искусственная дорожная неровность по адресу Отрадная улица, дом 15"
1711683,"Искусственная дорожная неровность по адресу Отрадная улица, дом 11"
1711690,"Искусственная дорожная неровность по адресу Вересковая улица, дом 5"
1711692,"Искусственная дорожная неровность по адресу Радужная улица, дом 14, корпус 1"
1711693,"Искусственная дорожная неровность по адресу Радужная улица, дом 10"
1711694,"Искусственная дорожная неровность по адресу Вересковая улица, дом 10"
1711695,"Искусственная дорожная неровность 1 по адресу улица Вешних Вод, дом 8, корпус 1"
1711698,"Искусственная дорожная неровность по адресу улица Вилиса Лациса, дом 25"
1711699,"Искусственная дорожная неровность по адресу Пяловская улица, дом 21"
1711703,"Искусственная дорожная неровность по адресу улица Коминтерна, дом 7"
1711709,"Искусственная дорожная неровность по адресу Алтуфьевское шоссе, дом 30Г"
1711726,"Искусственная дорожная неровность по адресу 2-й Сельскохозяйственный проезд, дом 4"
1711731,"Искусственная дорожная неровность по адресу улица Докукина, дом 3, корпус 1"
1711741,"Искусственная дорожная неровность по адресу улица Павла Корчагина, дом 13"
1711743,"Искусственная дорожная неровность по адресу улица Павла Корчагина, дом 18"
1711744,"Искусственная дорожная неровность по адресу улица Кондратюка, дом 5"
1711753,"Искусственная дорожная неровность по адресу Илимская улица, дом 10"
1711759,"Искусственная дорожная неровность по адресу Северодвинская улица, дом 13"
1711765,"Искусственная дорожная неровность по адресу Алтуфьевское шоссе, дом 56"
1711770,"Искусственная дорожная неровность по адресу Заревый проезд, дом 2"
1711775,"Искусственная дорожная неровность по адресу Стартовая улица, дом 1"
1711783,"Искусственная дорожная неровность по адресу улица Пришвина, дом 10"
1711784,"Искусственная дорожная неровность по адресу Алтуфьевское шоссе, дом 80"
1711785,"Искусственная дорожная неровность по адресу Новгородская улица, дом 10"
1711794,"Искусственная дорожная неровность по адресу Северный бульвар, дом 5 - дом 7"
1711796,"Искусственная дорожная неровность по адресу Белозерская улица, дом 13"
1711798,"Искусственная дорожная неровность по адресу Белозерская улица, дом 7"
1711805,"Искусственная дорожная неровность по адресу Палехская улица, дом 13"
1711806,"Искусственная дорожная неровность по адресу улица Бестужевых, дом 1"
1711808,"Искусственная дорожная неровность 1 по адресу улица Римского-Корсакова, дом 10"
1711811,"Искусственная дорожная неровность по адресу Палехская улица, дом 5"
1711813,"Искусственная дорожная неровность по адресу улица Бестужевых, дом 23"
1711819,"Искусственная дорожная неровность по адресу Путевой проезд, дом 12"
1711820,"Искусственная дорожная неровность по адресу Староватутинский проезд, дом 5, строение 2"
1711821,"Искусственная дорожная неровность по адресу Староватутинский проезд, дом 6"
1711822,"Искусственная дорожная неровность по адресу улица Проходчиков, дом 2"
1711823,"Искусственная дорожная неровность по адресу улица Коминтерна, дом 52"
1711825,"Искусственная дорожная неровность по адресу Бескудниковский бульвар, дом 50А"
1711828,"Искусственная дорожная неровность по адресу улица Проходчиков, дом 10, корпус 1, строение 2"
