global_id,Name,BalanceHolder,AdmArea,District,Address,lon,lat
2795042282,"Станция №965, 60 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Северо-Восточный административный округ,Останкинский район,"город Москва, Большая Марьинская улица, дом 11",37.634443,55.806921
2795042283,"Станция №966, 60 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Северо-Восточный административный округ,Останкинский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Останкинский, проспект Мира, дом 95",37.634706,55.807403
2795042284,"Станция №967, 60 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Северо-Восточный административный округ,Останкинский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Останкинский, проспект Мира, дом 95",37.63462,55.807405
2795042285,"Станция №968, 60 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Западный административный округ,район Раменки,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, улица Столетова, дом 7, корпус 1",37.49993,55.705422
2795042286,"Станция №973, 60 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Западный административный округ,район Раменки,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, улица Столетова, дом 7, корпус 1",37.499739,55.705468
2795042287,"Станция №974, 60 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Западный административный округ,район Раменки,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, улица Столетова, дом 7, корпус 1",37.499552,55.705521
2795042288,"Станция №975, 60 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Центральный административный округ,Красносельский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Красносельский, Милютинский переулок, дом 5, строение 1",37.631659,55.761938
2795042289,"Станция №976, 60 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Западный административный округ,район Фили-Давыдково,"город Москва, Кутузовский проспект, дом 88",37.450454,55.72525
2795042290,"Станция №465, 60 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Северо-Восточный административный округ,район Северное Медведково,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Северное Медведково, Широкая улица, дом 5, корпус 2",37.656548,55.88792
2795042291,"Станция №977, 60 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Западный административный округ,район Фили-Давыдково,"город Москва, Кутузовский проспект, дом 88",37.450423,55.725295
2795042292,"Станция №467, 60 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Северо-Восточный административный округ,Алтуфьевский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Алтуфьевский, Бибиревская улица, дом 11",37.596542,55.880457
2795042293,"Станция №980, 60 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Центральный административный округ,Тверской район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Краснопролетарская улица, дом 16, строение 2",37.606161,55.778036
2795042294,"Станция №981, 60 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Центральный административный округ,Тверской район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Краснопролетарская улица, дом 16, строение 2",37.606236,55.777927
2795042295,"Станция №982, 60 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Северный административный округ,район Аэропорт,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Савеловский, Башиловская улица, дом 2, строение 3",37.570493,55.790238
