TPUName,AdmArea,District,NearStation,Holder,global_id,lon,lat
ТПУ Юго-Восточная АвД ЮВАО,Юго-Восточный административный округ,район Выхино-Жулебино,станция метро Юго-Восточная,ГБУ «Автомобильные дороги ЮВАО»,1082630654,37.817451954,55.705284084
ТПУ Юго-Восточная Жилищник Выхино района Выхино-Жулебино,Юго-Восточный административный округ,район Выхино-Жулебино,станция метро Юго-Восточная,ГБУ «Жилищник Выхино района Выхино-Жулебино»,1082631581,37.816502452,55.705663416
ТПУ Нижегородская Жилищник Нижегородского района,Юго-Восточный административный округ,Нижегородский район,станция метро Нижегородская,ГБУ «Жилищник Нижегородского района»,1082631941,37.731878759,55.733450423
ТПУ Дмитриевского ДЗ ВАО,Восточный административный округ,район Косино-Ухтомский,метро улица Дмитриевского,ГКУ «Дирекция ЖКХиБ ВАО»,1136400158,37.878043056,55.710440266
ТПУ Лухмановская ДЗ ВАО,Восточный административный округ,район Косино-Ухтомский,метро Лухмановская,ГКУ «Дирекция ЖКХиБ ВАО»,1136400185,37.896432281,55.709367377
ТПУ Тимирязевская АвД САО,Северный административный округ,Тимирязевский район,Тимирязевская,ГБУ «Автомобильные дороги САО»,2725066277,37.575272125,55.818595437
ТПУ Электрозаводская Жилищник Басманный,Центральный административный округ,Басманный район,Электрозаводская,ГБУ «Жилищник района Басманный»,2725067304,37.704185054,55.780985016
ТПУ Дмитровская АвД САО,Северный административный округ,Савёловский район,Дмитровская,ГБУ «Автомобильные дороги САО»,2753281477,37.579921287,55.807904988
ТПУ Калужская АвД ЮЗАО,Юго-Западный административный округ,Обручевский район,метро «Калужская»,ГБУ «Автомобильные дороги ЮЗАО»,2753282195,37.539592784,55.656484261
ТПУ Новые Черемушки АвД ЮЗАО,Юго-Западный административный округ,Обручевский район,метро «Новые Черемушки»,ГБУ «Автомобильные дороги ЮЗАО»,2753282367,37.553611797,55.669468529
ТПУ Академическая АвД ЮЗАО,Юго-Западный административный округ,Академический район,Академическая,ГБУ «Автомобильные дороги ЮЗАО»,2755676614,37.573710484,55.68839592
ТПУ Беляево АвД ЮЗАО,Юго-Западный административный округ,район Коньково,Беляево,ГБУ «Автомобильные дороги ЮЗАО»,2755676650,37.526527445,55.643414955
ТПУ Бунинская аллея АвД ЮЗАО,Юго-Западный административный округ,район Южное Бутово,Бунинская аллея,ГБУ «Автомобильные дороги ЮЗАО»,2755676774,37.515107196,55.537866951
ТПУ Профсоюзная АвД ЮЗАО,Юго-Западный административный округ,район Черёмушки,Профсоюзная,ГБУ «Автомобильные дороги ЮЗАО»,2755676785,37.561813396,55.677165608
ТПУ Беговая АвД САО,Северный административный округ,Хорошёвский район,Метро «Беговая»,ГБУ «Автомобильные дороги САО»,2805181794,37.544293233,55.77397962
ТПУ Электрозаводская ДЗ ВАО,Восточный административный округ,район Соколиная Гора,станция метро «Электрозаводская»,ГКУ «Дирекция ЖКХИБ ВАО»,2832229382,37.705629814,55.782040924
ТПУ Физтех АвД СВАО,Северо-Восточный административный округ,район Северный,метро «Физтех»,ГБУ «Автомобильные дороги СВАО»,2836974016,37.546252019,55.920798278
ТПУ Деловой центр (СИТИ) АвД города Москвы,Центральный административный округ,Пресненский район,станция метро «Деловой центр»,ГБУ города Москвы «Автомобильные дороги»,2837524869,37.533121636,55.748029419
