ID,global_id,Name,ShortName,AdmArea,District,Address,Owner,TestDate,lon,lat
258,831772230,"Автомобильная заправочная станция ИП Левый М.С. в поселке Ерино, на улице Высокая, дом 100","АЗС ИП Левый М.С. в поселке Ерино, на улице Высокая, дом 100",Новомосковский административный округ,поселение Рязановское,"поселок Ерино, на улице Высокая, дом 100",ИП Левый М.С.,21.11.2017,37.527950183,55.449970793
259,860955286,"Автомобильная заправочная станция «Татнефть-АЗС-Запад» на Ленинградском шоссе, дом 77","АЗС «Татнефть-АЗС-Запад» на Ленинградском шоссе, дом 77",Северный административный округ,район Левобережный,"Ленинградское шоссе, дом 77",ООО «Татнефть-АЗС-Запад»,30.01.2018,37.444346397,55.879944189
260,860955293,Автомобильная заправочная станция «ТД Нефтьмагистраль» на 49-м километре А-101,АЗС «ТД Нефтьмагистраль» на 49-м километре А-101,Троицкий административный округ,поселение Краснопахорское,49-й километр А-101,ООО «ТД Нефтьмагистраль»,07.06.2019,37.239539077,55.398840839
261,860955294,Автомобильная заправочная станция «Форт» на 56-м километре Калужского шоссе,АЗС «Форт» на 56-м километре Калужского шоссе,Троицкий административный округ,поселение Вороновское,56-й километр Калужского шоссе,ООО «Форт»,02.03.2018,37.172445018,55.343183764
262,878657459,"Автомобильная заправочная станция «РН-Москва» на Люблинской улице, владение 92","АЗС «РН-Москва» на Люблинской улице, владение 92",Юго-Восточный административный округ,район Марьино,"Люблинская улица, владение 92",АО «РН-Москва»,08.05.2018,37.739086773,55.658628797
263,878657499,"Автомобильная заправочная станция «РН-Москва» на Волгоградском проспекте, дом 48, корпус 2","АЗС «РН-Москва» на Волгоградском проспекте, дом 48, корпус 2",Юго-Восточный административный округ,район Кузьминки,"Волгоградский проспект, дом 48, корпус 2",АО «РН-Москва»,08.05.2018,37.747586146,55.707448443
264,878657528,"Автомобильная заправочная станция «РН-Москва» на улице Вольная, владение 39","АЗС «РН-Москва» на улице Вольная, владение 39",Восточный административный округ,район Соколиная Гора,"улица Вольная, владение 39",АО «РН-Москва»,08.05.2018,37.742374823,55.778413289
265,878657572,"Автомобильная заправочная станция «РН-Москва» на улице Бутлерова, дом 19А, строение 1","АЗС «РН-Москва» на улице Бутлерова, дом 19А, строение 1",Юго-Западный административный округ,район Коньково,"улица Бутлерова, дом 19А, строение 1",АО «РН-Москва»,11.05.2018,37.540805189,55.64737751
266,878657591,"Автомобильная заправочная станция «РН-Москва» на улице Рябиновая, дом 73","АЗС «РН-Москва» на улице Рябиновая, дом 73",Западный административный округ,район Очаково-Матвеевское,"улица Рябиновая, дом 73",АО «РН-Москва»,11.05.2018,37.436374524,55.676443451
267,878657952,"Автомобильная заправочная станция «РН-Москва» на улице Народного Ополчения, дом 51","АЗС «РН-Москва» на улице Народного Ополчения, дом 51",Северо-Западный административный округ,район Щукино,"улица Народного Ополчения, дом 51",АО «РН-Москва»,11.05.2018,37.496935644,55.796459041
268,878658329,Автомобильная заправочная станция «РН-Москва» на 23-м километре Киевского шоссе,АЗС «РН-Москва» на 23-м километре Киевского шоссе,Новомосковский административный округ,поселение Московский,23-й километр Киевского шоссе,АО «РН-Москва»,15.05.2018,37.390152359,55.618988536
269,878658619,Автомобильная заправочная станция «РН-Москва» на 29-м километре Московской кольцевой автомобильной дороги,АЗС «РН-Москва» на 29-м километре Московской кольцевой автомобильной дороги,Южный административный округ,район Бирюлёво Восточное,29-й километр Московской кольцевой автомобильной дороги,АО «РН-Москва»,15.05.2018,37.651833568,55.572371829
270,878658785,"Автомобильная заправочная станция «РН-Москва» на Каширском шоссе, дом 61, корпус 5","АЗС «РН-Москва» на Каширском шоссе, дом 61, корпус 5",Южный административный округ,район Орехово-Борисово Северное,"Каширское шоссе, дом 61, корпус 5",АО «РН-Москва»,15.05.2018,37.717537038,55.612443361
271,889967278,"Автомобильная заправочная станция «ВЕМЕС» на Бережсковской набережной, дом 30Б","АЗС «ВЕМЕС» на Бережсковской набережной, дом 30Б",Западный административный округ,район Дорогомилово,"Бережсковская набережная, дом 30Б",ООО «ВЕМЕС»,10.08.2018,37.546080916,55.730580131
272,889967370,"Автомобильная заправочная станция «ВЕМЕС» на 52-м километре Московской кольцевой автомобильной дороги, вл. 3","АЗС «ВЕМЕС» на 52-м километре Московской кольцевой автомобильной дороги, вл. 3",Западный административный округ,район Очаково-Матвеевское,"52-й километр Московской кольцевой автомобильной дороги, вл. 3",ООО «ВЕМЕС»,10.08.2018,37.399139246,55.700840871
273,889967498,"Автомобильная заправочная станция «ТД Нефтьмагистраль» в Канатчиковском проезде, вл. 5","АЗС «ТД Нефтьмагистраль» в Канатчиковском проезде, вл. 5",Южный административный округ,Донской район,"Канатчиковский проезд, вл. 5",ООО «ТД Нефтьмагистраль»,07.09.2018,37.592223639,55.702263142
274,905396120,"Автомобильная заправочная станция «ЛАМБА» на 31-м километре Московской кольцевой автомобильной дороги, вл. 8, стр. 1","АЗС «ЛАМБА» на 31-м километре Московской кольцевой автомобильной дороги, вл. 8, стр. 1",Южный административный округ,район Бирюлёво Западное,"31-й километр Московской кольцевой автомобильной дороги, вл. 8, стр. 1",ООО «ЛАМБА»,01.11.2018,37.62078794,55.575339712
275,905396163,"Автомобильная заправочная станция «РАСА» на 53-м километре Московской кольцевой автомобильной дороги, д. 6Б, стр. 1","АЗС «РАСА» на 53-м километре Московской кольцевой автомобильной дороги, д. 6Б, стр. 1",Западный административный округ,Можайский район,"53-й километр Московской кольцевой автомобильной дороги, д. 6Б, стр. 1",ООО «РАСА»,02.11.2018,37.394587151,55.706581402
276,905396280,"Автомобильная заправочная станция «Татнефть-АЗС-Запад» на Ленинградском шоссе, д. 77А","АЗС «Татнефть-АЗС-Запад» на Ленинградском шоссе, д. 77А",Северный административный округ,район Левобережный,"Ленинградское шоссе, д. 77А",ООО «Татнефть-АЗС-Запад»,07.11.2018,37.445849814,55.880248516
277,905396281,"Автомобильная заправочная станция «Шелл Нефть» на Ленинградском шоссе, д. 71, стр. 1","АЗС «Шелл Нефть» на Ленинградском шоссе, д. 71, стр. 1",Северный административный округ,район Левобережный,"Ленинградское шоссе, д. 71, стр. 1",ООО «Шелл Нефть»,07.11.2018,37.476430818,55.844803502
278,905396326,"Автомобильная заправочная станция «ТК Булл» на 33-м километре Московской кольцевой автомобильной дороги, вл. 10","АЗС «ТК Булл» на 33-м километре Московской кольцевой автомобильной дороги, вл. 10",Южный административный округ,район Чертаново Южное,"33-й километр Московской кольцевой автомобильной дороги, вл. 10",ООО «ТК Булл»,07.11.2018,37.586949794,55.578384289
279,905396582,"Автомобильная заправочная станция «НБА-Северо-Запад» на Ленинградском шоссе, д. 286В","АЗС «НБА-Северо-Запад» на Ленинградском шоссе, д. 286В",Северный административный округ,Молжаниновский район,"Ленинградское шоссе, д. 286В",ООО «НБА-Северо-Запад»,08.11.2018,37.367685645,55.939499369
280,905396678,"Автомобильная заправочная станция «ТД Нефтьмагистраль» на Ленинградском шоссе, д. 23А","АЗС «ТД Нефтьмагистраль» на Ленинградском шоссе, д. 23А",Северный административный округ,Войковский район,"Ленинградское шоссе, д. 23А",ООО «ТД Нефтьмагистраль»,15.11.2019,37.492556912,55.824492364
